"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","156 K"
"Registry","172","Services","0","35,908 K"
"smss.exe","548","Services","0","1,116 K"
"csrss.exe","880","Services","0","6,628 K"
"wininit.exe","784","Services","0","6,772 K"
"services.exe","1036","Services","0","11,404 K"
"lsass.exe","1060","Services","0","40,912 K"
"svchost.exe","1184","Services","0","53,544 K"
"fontdrvhost.exe","1212","Services","0","3,216 K"
"svchost.exe","1280","Services","0","31,212 K"
"svchost.exe","1336","Services","0","17,672 K"
"svchost.exe","1524","Services","0","8,236 K"
"svchost.exe","1600","Services","0","13,488 K"
"svchost.exe","1712","Services","0","13,420 K"
"svchost.exe","1952","Services","0","13,784 K"
"svchost.exe","1976","Services","0","19,196 K"
"svchost.exe","2016","Services","0","12,888 K"
"svchost.exe","2044","Services","0","19,596 K"
"svchost.exe","1276","Services","0","29,684 K"
"svchost.exe","2132","Services","0","18,896 K"
"svchost.exe","2152","Services","0","16,780 K"
"svchost.exe","2240","Services","0","16,128 K"
"svchost.exe","2296","Services","0","26,020 K"
"atiesrxx.exe","2304","Services","0","5,708 K"
"svchost.exe","2388","Services","0","19,156 K"
"svchost.exe","2620","Services","0","31,672 K"
"svchost.exe","2628","Services","0","25,188 K"
"svchost.exe","2636","Services","0","12,840 K"
"svchost.exe","2644","Services","0","16,736 K"
"Memory Compression","2764","Services","0","3,77,916 K"
"svchost.exe","2808","Services","0","17,384 K"
"svchost.exe","2832","Services","0","20,744 K"
"svchost.exe","2840","Services","0","16,876 K"
"svchost.exe","2928","Services","0","30,756 K"
"svchost.exe","2956","Services","0","14,084 K"
"svchost.exe","2996","Services","0","14,856 K"
"svchost.exe","1828","Services","0","39,448 K"
"svchost.exe","788","Services","0","32,540 K"
"svchost.exe","2564","Services","0","23,640 K"
"spoolsv.exe","3092","Services","0","22,564 K"
"svchost.exe","3124","Services","0","28,984 K"
"svchost.exe","3284","Services","0","21,776 K"
"svchost.exe","3292","Services","0","27,592 K"
"svchost.exe","3308","Services","0","28,388 K"
"svchost.exe","3320","Services","0","47,820 K"
"MSIService.exe","3328","Services","0","9,328 K"
"svchost.exe","3336","Services","0","12,256 K"
"svchost.exe","3344","Services","0","51,168 K"
"MSIAPService.exe","3352","Services","0","19,004 K"
"Sendevsvc.exe","3372","Services","0","36,584 K"
"VoiceControl_Service.exe","3380","Services","0","13,500 K"
"MSI_Central_Service.exe","3388","Services","0","12,352 K"
"NortonSecurity.exe","3424","Services","0","1,49,284 K"
"OfficeClickToRun.exe","3472","Services","0","36,436 K"
"nsWscSvc.exe","3488","Services","0","8,964 K"
"svchost.exe","3788","Services","0","20,400 K"
"WmiPrvSE.exe","4600","Services","0","15,164 K"
"svchost.exe","4664","Services","0","15,604 K"
"MSI.CentralServer.exe","4812","Services","0","2,48,200 K"
"svchost.exe","4820","Services","0","26,224 K"
"svchost.exe","3364","Services","0","21,416 K"
"conhost.exe","3260","Services","0","5,976 K"
"svchost.exe","5144","Services","0","14,760 K"
"svchost.exe","736","Services","0","40,304 K"
"svchost.exe","5596","Services","0","40,372 K"
"unsecapp.exe","4896","Services","0","8,712 K"
"svchost.exe","5832","Services","0","38,444 K"
"svchost.exe","1692","Services","0","15,784 K"
"SgrmBroker.exe","5876","Services","0","8,928 K"
"svchost.exe","1124","Services","0","28,980 K"
"SearchIndexer.exe","6360","Services","0","31,396 K"
"svchost.exe","2560","Services","0","23,352 K"
"svchost.exe","6064","Services","0","17,084 K"
"svchost.exe","6088","Services","0","10,508 K"
"svchost.exe","2532","Services","0","37,736 K"
"svchost.exe","6132","Services","0","34,384 K"
"svchost.exe","5808","Services","0","52,092 K"
"AggregatorHost.exe","4788","Services","0","9,392 K"
"svchost.exe","4808","Services","0","33,780 K"
"svchost.exe","2328","Services","0","27,200 K"
"svchost.exe","5828","Services","0","22,424 K"
"svchost.exe","1808","Services","0","29,316 K"
"svchost.exe","8004","Services","0","16,192 K"
"svchost.exe","8660","Services","0","29,412 K"
"svchost.exe","10976","Services","0","19,212 K"
"SecurityHealthService.exe","13112","Services","0","13,668 K"
"svchost.exe","13620","Services","0","30,768 K"
"svchost.exe","9424","Services","0","16,152 K"
"NahimicService.exe","11480","Services","0","26,848 K"
"RtkAudUService64.exe","11608","Services","0","12,956 K"
"svchost.exe","14824","Services","0","6,372 K"
"svchost.exe","13316","Services","0","12,080 K"
"svchost.exe","5888","Services","0","5,416 K"
"WmiPrvSE.exe","6404","Services","0","29,660 K"
"svchost.exe","14344","Services","0","13,620 K"
"svchost.exe","18060","Services","0","7,152 K"
"svchost.exe","7208","Services","0","7,468 K"
"svchost.exe","11744","Services","0","10,268 K"
"svchost.exe","1548","Services","0","8,068 K"
"svchost.exe","17576","Services","0","9,980 K"
"dasHost.exe","4712","Services","0","6,764 K"
"svchost.exe","9892","Services","0","6,492 K"
"wlanext.exe","588","Services","0","5,984 K"
"conhost.exe","13992","Services","0","5,664 K"
"WmiPrvSE.exe","6900","Services","0","10,100 K"
"audiodg.exe","10784","Services","0","20,344 K"
"csrss.exe","17248","Console","18","6,724 K"
"winlogon.exe","5128","Console","18","9,884 K"
"fontdrvhost.exe","7336","Console","18","4,612 K"
"dwm.exe","9136","Console","18","78,680 K"
"MoUsoCoreWorker.exe","15536","Services","0","29,924 K"
"atieclxx.exe","11812","Console","18","14,172 K"
"sihost.exe","9176","Console","18","33,480 K"
"svchost.exe","12628","Console","18","22,112 K"
"svchost.exe","17096","Console","18","7,400 K"
"svchost.exe","5728","Console","18","32,248 K"
"taskhostw.exe","264","Console","18","16,668 K"
"OmApSvcBroker.exe","11192","Console","18","18,420 K"
"explorer.exe","9044","Console","18","1,63,560 K"
"NahimicSvc64.exe","9876","Console","18","6,772 K"
"NahimicSvc32.exe","9924","Console","18","6,536 K"
"svchost.exe","10904","Console","18","15,900 K"
"svchost.exe","14800","Services","0","7,472 K"
"SearchHost.exe","12900","Console","18","94,432 K"
"StartMenuExperienceHost.exe","17512","Console","18","61,976 K"
"Widgets.exe","18020","Console","18","43,900 K"
"MSI.TerminalServer.exe","6128","Console","18","9,352 K"
"RuntimeBroker.exe","5552","Console","18","21,532 K"
"RuntimeBroker.exe","5220","Console","18","39,288 K"
"svchost.exe","8032","Console","18","8,128 K"
"dllhost.exe","13728","Console","18","18,444 K"
"ctfmon.exe","4596","Console","18","19,068 K"
"VoiceControlEngine.exe","10920","Console","18","7,180 K"
"LockApp.exe","11048","Console","18","40,588 K"
"RuntimeBroker.exe","2168","Console","18","33,300 K"
"svchost.exe","14316","Console","18","13,104 K"
"SecurityHealthSystray.exe","13188","Console","18","10,016 K"
"RtkAudUService64.exe","4656","Console","18","14,944 K"
"OneDrive.exe","4588","Console","18","91,960 K"
"msedge.exe","5024","Console","18","1,81,996 K"
"msedge.exe","5924","Console","18","8,556 K"
"msedge.exe","1532","Console","18","1,88,572 K"
"msedge.exe","7892","Console","18","50,900 K"
"msedge.exe","5244","Console","18","19,192 K"
"msteams.exe","14464","Console","18","14,972 K"
"DCv2.exe","10136","Console","18","78,872 K"
"RuntimeBroker.exe","7328","Console","18","10,608 K"
"LauncherRSXRuntime.exe","17272","Console","18","6,840 K"
"RuntimeBroker.exe","6356","Console","18","10,648 K"
"msedgewebview2.exe","8612","Console","18","38,108 K"
"msedgewebview2.exe","6784","Console","18","8,904 K"
"msedgewebview2.exe","8904","Console","18","7,040 K"
"msedgewebview2.exe","3152","Console","18","14,404 K"
"msedgewebview2.exe","8504","Console","18","4,652 K"
"msedgewebview2.exe","10088","Console","18","41,804 K"
"ShellExperienceHost.exe","1640","Console","18","56,592 K"
"RuntimeBroker.exe","15956","Console","18","19,616 K"
"SystemSettingsBroker.exe","7972","Console","18","32,144 K"
"NortonSecurity.exe","6336","Console","18","48,512 K"
"nahimicNotifSys.exe","16656","Console","18","45,084 K"
"msedge.exe","13144","Console","18","83,968 K"
"svchost.exe","18084","Services","0","5,456 K"
"YourPhone.exe","1372","Console","18","3,420 K"
"svchost.exe","14672","Console","18","19,908 K"
"RuntimeBroker.exe","16804","Console","18","9,352 K"
"YourPhoneServer.exe","9564","Console","18","70,116 K"
"msedge.exe","16024","Console","18","7,55,336 K"
"msedge.exe","13232","Console","18","23,952 K"
"RuntimeBroker.exe","8984","Console","18","21,664 K"
"msedge.exe","15440","Console","18","21,900 K"
"msedgewebview2.exe","18340","Console","18","9,688 K"
"msedgewebview2.exe","3276","Console","18","8,932 K"
"msedgewebview2.exe","12548","Console","18","4,884 K"
"msedgewebview2.exe","3716","Console","18","4,680 K"
"msedgewebview2.exe","15712","Console","18","416 K"
"msedgewebview2.exe","14540","Console","18","4,180 K"
"taskhostw.exe","9400","Console","18","12,912 K"
"SystemSettings.exe","17504","Console","18","2,504 K"
"ApplicationFrameHost.exe","12856","Console","18","33,796 K"
"UserOOBEBroker.exe","3848","Console","18","8,228 K"
"MoNotificationUx.exe","5856","Console","18","11,400 K"
"msedge.exe","8912","Console","18","30,256 K"
"svchost.exe","14900","Services","0","13,788 K"
"RuntimeBroker.exe","4592","Console","18","22,636 K"
"svchost.exe","16684","Services","0","11,284 K"
"smartscreen.exe","18008","Console","18","10,024 K"
"cmd.exe","10512","Console","18","6,300 K"
"conhost.exe","12668","Console","18","22,312 K"
"OpenConsole.exe","17308","Console","18","10,764 K"
"tasklist.exe","15136","Console","18","10,112 K"
